Original,id_Developer
Digital Embryo,1245
Strangelite,1246
Gaijin Games,1247
"CyberConnect2, Racjin",1248
Pterodon,1249
Vanilla Ware,1250
Black Sea Studios,1251
neo Software,1252
"Reloaded Productions, Reloaded Games Inc.",1253
Koei Canada,1254
Zoonami Ltd.,1255
Teyon,1256
Monumental Games,1257
Bam Entertainment,1258
"505 Games, Sarbakan Inc.",1259
Realtime Worlds,1260
White Birds Productions,1261
"Opus, Project Sora",1262
BigPark,1263
Infinite Machine,1264
Rockstar Studios,1265
Naps Team,1266
Route 1 Games,1267
NATSUME ATARI Inc.,1268
Big Fish Games,1269
Frima Studio,1270
Creatures Inc.,1271
Alphadream Corporation,1272
Exakt,1273
"Tecmo, Graphic Research",1274
Turtle Rock Studios,1275
"Ubisoft, Ludia Inc.",1276
Enterbrain,1277
SCEA Sports Studio,1278
Alternative Software,1279
DMA Design,1280
Steel Monkeys,1281
ThatGameCompany,1282
"Jack of All Games, eV Interactive",1283
"Infinite Dreams, Paragon 5",1284
The Workshop,1285
Denyu-Sha,1286
Epicenter Studios,1287
EC Interactive Games,1288
Cyber Planet,1289
Psygnosis,1290
Asylum Entertainment,1291
"Crave, DTP Entertainment",1292
Prograph,1293
Big Head Games Ltd.,1294
"Dimps Corporation, Dream Execution",1295
DreamCatcher Interactive,1296
"Sandlot Games, Digital Embryo",1297
"Camouflaj, LLC",1298
odenis studio,1299
Tectonic Studios,1300
Roxor Games,1301
Stealth Studios,1302
"Warner Bros. Interactive Entertainment, NetherRealm Studios",1303
The Tangentlemen,1304
Otomate,1305
Realmforge Studios,1306
Ntreev Soft,1307
"EA DICE, Danger Close",1308
Awesome Studios,1309
Wicked Studios,1310
"Beenox, Other Ocean Interactive",1311
Hijinx Studios,1312
Circus Freak,1313
Arts Software,1314
"Mindscape Inc., Mindscape",1315
Neopica,1316
StudioBlack Games,1317
Black Ship Games,1318
"Art Co., Ltd.",1319
"Electronic Arts, EA Redwood Shores",1320
Hoplite Research,1321
"EA Sports, EA Canada",1322
Tilted Mill,1323
SingleTrac,1324
Ninja Studio,1325
AI,1326
"Viva Media, Viva Media, LLC",1327
Koei/Inis,1328
"Taito Corporation, 505 Games",1329
Paradox Interactive,1330
Boomzap,1331
The Coalition,1332
SunSoft,1333
TML-Studios,1334
New,1335
"Pam Development, 2K Sports",1336
"Dimps Corporation, Sonic Team",1337
Games Farm,1338
Runtime,1339
Wicked Witch Software,1340
Humagade,1341
Codo Games,1342
FAKT Software,1343
Ice-Pick Lodge,1344
"Harmonix Music Systems, Demiurge Studios",1345
Psyonix,1346
Lab Rats Games,1347
"Aqua Pacific, In2Games",1348
Mitchell,1349
Santa Entertainment,1350
Hoget,1351
"Retro Studios, Entertainment Analysis & Development Division",1352
Koolhaus Games,1353
Cranberry Production,1354
Bit Town,1355
Osiris Studios,1356
Sabarasa Entertainment,1357
"EA Canada, Nihilistic",1358
Bitmap Brothers,1359
Related Designs,1360
Farsight Technologies,1361
NEC Interchannel,1362
Elixir Studios,1363
Cinegroupe,1364
Bunkasha Publishing,1365
Tenky,1366
Kat Games,1367
iRock Interactive,1368
"K2, Kurogane",1369
Buena Vista Interactive,1370
Tigon,1371
Tornado Studios,1372
Volatile Games,1373
Opus Studio,1374
Game Life,1375
Premium Agency,1376
Eden,1377
LDW,1378
Braingame,1379
"Nippon Ichi Software, Hit Maker",1380
EA Vancouver,1381
Contraband Entertainment,1382
Max Five,1383
Enlight Software,1384
Anchor,1385
"SCEA, Think and Feel",1386
"Capcom, Pipeworks Software, Inc.",1387
Kronos Digital Entertainment,1388
"Harmonix Music Systems, Backbone Entertainment",1389
Headfirst Productions,1390
GungHo,1391
"Compile Heart, GCREST",1392
TDK Mediactive,1393
FASA Studio,1394
iWin,1395
Iridon Interactive AB,1396
Interchannel-Holon,1397
Tranji,1398
7Raven Studios,1399
"Armature Studio, comcept",1400
"DMA Design, Rockstar North",1401
Tecmo Koei Canada,1402
Inferno Games,1403
Crispy's,1404
"EA Sports, EA Vancouver",1405
10tacle Studios,1406
Majesco Games,1407
"Humongous Entertainment, Mistic Software",1408
Studio Gigante,1409
Master Creating,1410
Pixel Tales,1411
"Yuke's, Yuke's Company of America",1412
DMi Games,1413
Behavior Studios,1414
Empty Clip Studios,1415
LSP,1416
Imagineer,1417
Ironclad Games,1418
Career Soft,1419
Dearsoft,1420
"Genius Sonority Inc., Disney Interactive Studios",1421
Gaia (Sony),1422
Warashi,1423
Fresh 3D,1424
Twisted Pixel Games,1425
Gaslamp Games,1426
Flight-Plan,1427
Tactical Development,1428
Curious Pictures,1429
"Epic Games, People Can Fly",1430
"Disney Interactive Studios, Land Ho!",1431
Dovetail Games,1432
Nitro Games,1433
BottleRocket Entertainment,1434
Kadokawa,1435
"Mastertronic, V5 Play Studio",1436
"Atari, Slightly Mad Studios, Atari SA",1437
Tose Software,1438
Barnstorm Games,1439
"Punchline, Shirogumi",1440
Merscom LLC,1441
2K Shanghai,1442
"Omega Force, Koei Canada",1443
Pendulo Studios,1444
Rockstar Vancouver,1445
Phoenix Games Studio,1446
Bluehole Studio,1447
"Rocksteady Studios, Iron Galaxy Studios",1448
Syscom,1449
The Odd Gentlemen,1450
PQube,1451
SolWorks,1452
WinkySoft,1453
Netherock Ltd.,1454
G.Rev,1455
Banpresto,1456
Squashy Software,1457
Nitro+,1458
Katauri Interactive,1459
Hyde,1460
Trine Games,1461
Mix Max,1462
Sega AM3,1463
"Eighting, Genius Sonority Inc.",1464
Gimagin Games,1465
Acclaim Studios Manchester,1466
"Game Arts, Seta Corporation",1467
Autumn Moon,1468
Rhino Studios,1469
"Replay Studios, ML Enterprises",1470
The Behemoth,1471
"Genki, Kojima Productions",1472
Valhalla Game Studios,1473
Design Factory,1474
"Alchemist, Inti Creates",1475
JoWooD Entertainment AG,1476
Dracue,1477
Hyperspace Cowgirls,1478
Genuine Games,1479
"Screenlife Games, WXP",1480
Sun-Tec,1481
"Neversoft Entertainment, Underground Development",1482
Cunning Developments,1483
Sabertooth Games,1484
Universomo,1485
Red Wagon Games,1486
SystemSoft,1487
"CyberPlanet Interactive Public Co., Ltd., Maximum Family Games",1488
Nuevo Retro Games,1489
Y's K,1490
KUNST-STOFF,1491
Cosmigo,1492
Two Tribes,1493
Immersion Software & Graphics,1494
Just For Fun,1495
Atomic Games,1496
"PM Studios Inc., Pentavision Entertainment",1497
Independent Arts,1498
XPEC Entertainment Inc.,1499
Akella,1500
"United Coders, Wizardry Engineering",1501
Microsoft Game Studios Japan,1502
"Volition Inc., CD Projekt Red Studio, CD Projekt, CD Projekt Localisation Centre",1503
Westwood Studios,1504
Tragnarion Studios,1505
Ino-Co,1506
"Frontier Developments, Various",1507
Synetic,1508
"Nintendo, Headstrong Games",1509
"MicroProse, n-Space",1510
"Dimps Corporation, SCE Japan Studio",1511
Playbox Limited,1512
Team Soho,1513
Ronin Entertainment,1514
"Media Molecule, United Front Games",1515
Lucas Learning,1516
"EA Canada, Exient Entertainment",1517
Interactive Brains,1518
Ubisoft Nagoya,1519
Red Zone Entertainment,1520
Multimedia Intelligence Transfer,1521
Agenda,1522
Black Bean Games,1523
Blueshift,1524
Enigma Software Productions,1525
"Deep Silver, Sproing Interactive Media, Sproing",1526
Mad Catz,1527
Scientifically Proven,1528
Creations,1529
Nvizzio Creations,1530
Deep Space,1531
Digital Leisure Inc.,1532
Nordcurrent,1533
Avalon Style,1534
InterActive Vision Games,1535
G-Artists,1536
zSlide,1537
King of the Jungle,1538
2D Boy,1539
Boxed Dream,1540
Melesta,1541
SCS Software,1542
Big Blue Box,1543
Gulti,1544
Hypnos Entertainment,1545
Foreign Media,1546
Mana Comp. Soft.,1547
Trilobyte,1548
Eiconic Games,1549
Locomotive Games,1550
SilverBirch Studios,1551
