Original,id_Developer
"Climax Group, Climax Studios",269
Bohemia Interactive,270
Digital Kids,271
Compile Heart,272
1C: Maddox Games,273
"Io Interactive, Nixxes Software",274
System 3,275
5TH Cell,276
Blue Fang Games,277
Swordfish Studios,278
Disney Interactive Studios,279
"Treyarch, Infinity Ward",280
Hydravision,281
Oxygen Interactive,282
Opus,283
Creat Studios,284
Tate Interactive,285
4A Games,286
Backbone Vancouver,287
Behaviour Interactive,288
Ghost Games,289
Blitz Games,290
Eighting,291
Iron Galaxy Studios,292
GCP1,293
React Games,294
Cohort Studios,295
Pyro Studios,296
Nobilis,297
Genki,298
Digital Illusions,299
Take-Two Interactive,300
Ubisoft Porto Alegre,301
GRIN,302
"Machatin, Inc.",303
Black Box,304
Ubisoft Romania,305
Trion Worlds,306
Barnhouse Effect,307
3d6 Games,308
Wow Entertainment,309
Navarre Corp,310
Studio Saizensen,311
"Lancarse, Atlus",312
Infinite Interactive,313
Starbreeze,314
"Jellyvision, Iron Galaxy Studios",315
Monster Games Inc.,316
PopCap,317
KCEO,318
Nikitova Games,319
Artoon,320
Ubisoft Montpellier,321
MachineGames,322
Blue Byte,323
Sennari Interactive,324
Croteam,325
"Ubisoft, Powerhead Games",326
"Edge Entertainment, Anima Project",327
"Playlogic, The Game Factory",328
"Number None Inc., Knockout Games",329
Spark Unlimited,330
Ubisoft Shanghai,331
Pandemic Studios,332
Left Field Productions,333
"Namco Bandai Games, Monkey Bar Games",334
JGI Entertainment,335
Game Republic,336
"Sumo Digital, Playground Games",337
Kouyousha,338
Monolith Soft,339
Haemimont,340
"Idea Factory, Compile Heart",341
TOYBOX,342
Paradox Development Studio,343
Konami Computer Entertainment Hawaii,344
Full Fat,345
Insomniac Games,346
"Activision, FreeStyleGames",347
Firehazard Studio,348
2K Sports,349
GlyphX Games,350
Artefacts Studio,351
Atomic Planet Entertainment,352
Sledgehammer Games,353
Obsidian Entertainment,354
Takara Tomy,355
Magic Pockets,356
3DO,357
David A. Palmer Productions,358
Krome Studios,359
FreeStyleGames,360
Nordic Games Publishing,361
7 Studios,362
Graphic State,363
Pocketeers,364
Rockstar North,365
"Crystal Dynamics, Nixxes Software",366
XS Games,367
"1C, 1C Company",368
Epicenter Interactive,369
5000ft,370
Petroglyph,371
"Sega, Dimps Corporation",372
Freedom Factory Studios,373
Arkane Studios,374
Virtual Toys,375
Starfish,376
Eidos Montreal,377
Neversoft Entertainment,378
Treasure,379
Lost Toys,380
Matrix Software,381
Webfoot Technologies,382
IR Gurus,383
Monolith Productions,384
Deadline Games,385
Nihilistic,386
Sidhe Interactive,387
Farsight Studios,388
Smart Bomb Interactive,389
Zoo Games,390
CD Projekt Red Studio,391
Black Rock Studio,392
Egosoft,393
Carapace,394
FrontLine Studios,395
Raven Software,396
Ensemble Studios,397
Media Vision,398
Destineer,399
NanaOn-Sha,400
Collision Studios,401
Firaxis Games,402
Cing,403
Longtail Studios,404
Game Arts,405
Respawn Entertainment,406
Mistwalker,407
Griffin International,408
Papaya Studios,409
LightBox Interactive,410
Paradigm Entertainment,411
Dancing Dots,412
Propaganda Games,413
Project Soul,414
Sonic Powered,415
"Eurocom Entertainment Software, Visceral Games",416
Frontier Developments,417
Various,418
Nd Cube,419
Paprikari,420
Quantic Dream,421
Opera House,422
Valve Software,423
Marvelous Entertainment,424
Visceral Games,425
MumboJumbo,426
Overkill Software,427
Bandai,428
Mistic Software,429
Sims,430
ZeniMax Media,431
Koei Tecmo Games,432
Etranges Libellules,433
Bullets,434
Turn 10,435
Namco Bandai Games America,436
Handheld Games,437
Project Aces,438
Titus Software,439
Purple Hills,440
Marvelous AQL,441
FireFly Studios,442
Hudson,443
Gevo Entertainment,444
OneNine Studios,445
Sting,446
"Image Epoch, Imageepoch",447
Lionhead Studios,448
High Impact Games,449
"Nintendo, Nintendo Software Technology",450
"GameMill Publishing, 1st Playable Productions",451
"IronNos Co.,Ltd.",452
Artdink,453
DONTNOD Entertainment,454
B-Alive,455
UDS,456
EA Chicago,457
"Buka Entertainment, Targem Games",458
Starfish SD,459
SCE Studio Cambridge,460
"Team Ninja, Tecmo",461
Interchannel,462
Crawfish Interactive,463
"THQ, Altron",464
Sega Studios San Francisco,465
Nintendo EAD Tokyo,466
Performance Designed Products,467
Atari,468
Sony Bend,469
BudCat,470
Daedalic Entertainment,471
Rainbow S.p.A.,472
KCEJ,473
"Nintendo, Camelot Software Planning",474
Coyote Console,475
Paradox Development,476
Hudson Soft,477
Gameloft,478
Sensory Sweep,479
Cyanide,480
Blizzard Entertainment,481
Ryu ga Gotoku Studios,482
"UFO Interactive, CyberPlanet Interactive Public Co., Ltd.",483
"Ubisoft Barcelona, Ubisoft Reflections",484
"Lexis Numerique, Virtual Toys",485
"Naughty Dog, Sony Bend",486
DC Studios,487
D3Publisher,488
The Sims Studio,489
Incinerator Games,490
Razorworks Studios,491
Sucker Punch,492
Junction Point,493
Blue Tongue Entertainment,494
Acquire,495
Delta Factory,496
Impulse Games,497
Microsoft Game Studios,498
Alfa System,499
Cattle Call,500
EA Montreal,501
Darkworks,502
TimeGate Studios,503
Yoostar Entertainment Group,504
Q Entertainment,505
Amusement Vision,506
Vanillaware,507
Beenox,508
Rockstar Vienna,509
Firebrand Games,510
PlatinumGames,511
Armature Studio,512
K2 LLC,513
Next Wave Team,514
Savage Entertainment,515
People Can Fly,516
"Fusionsphere Systems, Animation Arts",517
Pyramid,518
Digital Mayhem,519
Revolution Software,520
"Buddiez, Inc.",521
Ganbarion,522
Game Machine Studios,523
"Bungie Software, Bungie",524
Headup Games,525
Graffiti Entertainment,526
Monte Cristo Multimedia,527
Coresoft,528
Velez & Dubail,529
Vicious Cycle,530
Camelot Software Planning,531
Totally Games,532
Zig Zag,533
Ion Storm,534
Bigbig Studios,535
Cinemaware,536
"TimeGate Studios, Day 1 Studios",537
Nex Entertainment,538
Mobile 21,539
Tamsoft,540
Magellan Interactive,541
Nautilus,542
KING Art,543
5pb,544
Engine Software,545
Sanrio Digital,546
Team Fusion,547
Vanpool,548
Eidos Interactive,549
Stainless Games,550
O-Games,551
Funbox Media,552
K2,553
Noise Factory,554
MTO,555
Cowboy Rodeo,556
"Alawar Entertainment, Inc, Alawar Entertainment",557
F84 Games,558
TopWare Interactive,559
Wizarbox,560
Foundation 9 Entertainment,561
Microids,562
"Irrational Games, 2K Marin",563
Kunos Simulazioni,564
DTP Entertainment,565
Panic Button,566
SEGA Racing Studio,567
Coldwood Interactive,568
Top Heavy Studios,569
2K Czech,570
Rockstar London,571
Sonnori,572
Bright Future GmbH,573
T&E Soft,574
Avalanche Studios,575
"High Voltage Software, Ubisoft Paris",576
Cerasus Media,577
Activision Value,578
ImaginEngine,579
Tantalus Interactive,580
Renegade Kid,581
DSI Games,582
Mentor Interactive,583
Cave,584
"Telegames, Inc.",585
Empire Oxford,586
Fatshark AB,587
ArtePiazza,588
Mass Media,589
KCE Studios,590
PopTop Software,591
Cryptic Studios,592
Blue Shift,593
Interplay,594
Relic,595
Grasshopper Manufacture,596
Barking Lizards,597
Dorasu,598
Data Design Interactive,599
"Ubisoft, Sensory Sweep",600
Experience Inc.,601
"Matrix Software, Marvelous Entertainment",602
Evolution Studios,603
Powerhead Games,604
Free Radical Design,605
BattleBorne,606
Red Tribe,607
Axis Entertainment,608
Jupiter Corporation,609
"Atari, Atari SA",610
Tommo,611
Silver Wish Games,612
Deibus Studios,613
Sports Interactive,614
Curly Monsters,615
CAProduction,616
Red Fly Studio,617
Clap Hanz,618
Tiwak,619
Le Cortex,620
DoubleTap Games,621
Bullfrog Productions,622
Swingin' Ape,623
Angel Studios,624
"Factor 5, SCE/WWS",625
Acclaim Studios Austin,626
id Software,627
Triumph Studios,628
Digital Extremes,629
Mindware Studios,630
"Spike, Namco Bandai Games",631
Supersonic Software,632
Human Soft,633
Codemasters Birmingham,634
Deep Red,635
"Human Soft, Ivolgamus",636
Big Time Software,637
"Flagship, HAL Labs",638
Good-Feel,639
Zombie Studios,640
Little Orbit,641
Metia Interactive,642
Blueside,643
Pacific Coast Power & Light,644
Mastiff,645
RedLynx,646
Knowledge Adventure Inc.,647
VU Games,648
Yacht Club Games,649
Gravity-I,650
Tango Gameworks,651
Lucky Chicken,652
"Terminal Reality, 4mm Games",653
Zed Two Limited,654
Bec,655
Silicon Dreams,656
"Infinity Ward, Sledgehammer Games",657
High Moon Studios,658
Jellyvision,659
Fluid Studios,660
Inti Creates,661
Sega AM2,662
Shift,663
Chris Sawyer,664
Brownie Brown,665
Deep Fried Entertainment,666
Infogrames Sheffield,667
Idol FX,668
Strawdog Studios,669
Avit-Niigata,670
Brash Entertainment,671
Rocksteady Studios,672
Pseudo Interactive,673
The Game Factory,674
Rare Ltd.,675
KCEA,676
Kalypso,677
Spike Chunsoft,678
"Omega Force, Koei Tecmo Games",679
Gas Powered Games,680
Zerodiv,681
Playstos Entertainment,682
Silicon Knights,683
NaturalMotion,684
Eden Studios,685
Ubisoft Toronto,686
THQ Digital Studio Phoenix,687
Mahou,688
"Koei, Omega Force",689
Full-Fat,690
Fusionsphere Systems,691
eV Interactive,692
"Blue Byte, Related Designs",693
Blade Interactive,694
Factor 5,695
"High Voltage Software, Backbone Entertainment",696
InXile Entertainment,697
Arkedo Studio,698
Backbone Entertainment,699
"Tetris Online, Inc",700
"Eutechnyx, Deep Silver",701
Dusenberry Martin Racing,702
Shaba Games,703
Magix,704
Global A,705
Secret Stash Games,706
Magenta Software,707
Avanquest Software,708
Hyper-Devbox,709
"Amaze Entertainment, Vivendi Games",710
Mid Carolina Media,711
SoftMax,712
GSC Game World,713
Attractive Games,714
Pronto Games,715
"Targem Games, TopWare Interactive",716
Climax Entertainment,717
Remedy Entertainment,718
"Scholastic, Inc.",719
Cavia Inc.,720
Equinoxe,721
Shin'en,722
2015,723
"Game Republic, JapanStudio",724
Blue 52,725
"Neverland, Idea Factory",726
MASA Group,727
"Sega, Sonic Team",728
Headlock,729
Midway Studios - San Diego,730
oeFun,731
Sony Online Entertainment,732
"Unigine Corp, Russia",733
Tri-Crescendo,734
Amuze,735
NetherRealm Studios,736
Runecraft,737
EA Black Box,738
3G Studios,739
Simon & Schuster,740
Saffire,741
Jaleco Entertainment,742
Mucky Foot Productions,743
Dimps Corporation,744
CokeM Interactive,745
"EA Canada, EA Vancouver",746
"Valuewave Co.,Ltd.",747
exozet,748
"Vicious Cycle, Little Orbit",749
Blue Planet Software,750
"Vicarious Visions, Neversoft Entertainment",751
Ruffian Games,752
Land Ho!,753
Beyond Games,754
CodeFire,755
Magic Pixel Games,756
SCi,757
Voxler,758
Ubisoft Milan,759
HexaDrive,760
Pam Development,761
Cooking Mama Limited,762
Quest,763
Skonec,764
"id Software, Raven Software",765
"EA Canada, Sensory Sweep",766
Artech Studios,767
Outrage Games,768
Presto Studios,769
Skyworks Technologies,770
Naughty Dog,771
Headgate,772
Sunrise Interactive,773
2K Australia,774
eGames,775
Ludia,776
Most Wanted Entertainment,777
Red Storm Entertainment,778
Tantatus,779
Helixe,780
Suzak,781
Indie Built,782
Computer Artworks,783
Sega Toys,784
Arzest,785
Digital Fiction,786
Bongfish,787
United Front Games,788
CCP,789
M2,790
Alpha Unit,791
Examu,792
Hothouse Creations,793
Team Bondi,794
Trendy Entertainment,795
Bizarre Creations,796
"Introversion, Double Eleven",797
Bits Studios,798
"Phosphor Games Studio, LLC",799
Boston Animation,800
Touchdown Entertainment,801
Splash Damage,802
Stormfront Studios,803
"Left Field Productions, Zoo Games",804
Sandlot Games,805
"LucasArts, BioWare",806
Kando Games,807
Rockstar Leeds,808
Aspyr,809
Vir2L Studios,810
"Spike Chunsoft Co. Ltd., Spike Chunsoft",811
Blast! Entertainment Ltd,812
Yager,813
Kylotonn,814
Extra Mile Studios,815
Pitbull Syndicate,816
Escape,817
"Big Blue Bubble Inc., Breakthrough New Media",818
Happy Happening,819
Jupiter Multimedia,820
Giants Software,821
Ratbag,822
ZigZagIsland,823
Her Interactive,824
Playrix Entertainment,825
Kemco,826
"The Digital Lounge, Dino Dini",827
"Red Storm Entertainment, Ubisoft Paris",828
Spiders,829
Blue Omega,830
Vatra,831
Irrational Games,832
2K Play,833
Eighting/Raizing,834
Visual Sciences,835
"Ubisoft Paris, Ubisoft Montpellier",836
"Omiya Soft, Jamsworks",837
FeelPlus,838
Piranha Bytes,839
Lightning Fish Games,840
Magicpot,841
Brain Toys,842
Larian Studios,843
Compulsion Games,844
"Rebellion, Neversoft Entertainment",845
"THQ, Yuke's",846
Mad Doc Software,847
Jester Interactive,848
GenePool,849
Tecmo Koei Games,850
ACOT,851
2K Games,852
EA Mythic,853
Studio Liverpool,854
Mystic Software,855
Seven45 Studios,856
Monkey Bar Games,857
"Deep Silver, Keen Games",858
Slant Six,859
Aki Corp.,860
Big Huge Games,861
Super X Studios,862
"Frogwares, Mistic Software",863
"LucasArts, Krome Studios",864
Dreamworks Interactive,865
ValuSoft,866
"Machineworks Northwest, WXP",867
Destination Software,868
Ubisoft Vancouver,869
"Rockstar Toronto, Rockstar Leeds",870
Virtucraft,871
Prope,872
Telenet,873
"Sega, French-Bread",874
Blue Tea Games,875
Empire Interactive,876
"Naughty Dog, SCE/WWS",877
Big Red Button Entertainment,878
Whitebear,879
Ancient,880
Maximum Family Games,881
Robomodo,882
CI Games,883
"PLAYGROUND, Playground Games",884
Cygames,885
Danger Close,886
Ubisoft Reflections,887
Illusion Softworks,888
Impressions Games,889
Zoom,890
"Big Blue Bubble Inc., Scholastic, Inc.",891
Razorback Developments,892
Triple Eh? Ltd,893
ChunSoft,894
Milestone,895
Ubisoft Sofia,896
Retro Studios,897
Tomy Corporation,898
"LDW, Big Fish Games",899
Taniko,900
Xpec,901
Broadsword Interactive,902
Q-Games,903
SuperMassive Games,904
SCEI,905
Backbone Emeryville,906
WideScreen Games,907
Prolific,908
Stormregion,909
Anchor Bay Entertainment,910
Celeris,911
WorkJam,912
"Nintendo, Intelligent Systems",913
Snowblind Studios,914
War Drum Studios,915
SNK,916
Subterranean Games,917
WB Games Montreal,918
SmartDog,919
"Spike Chunsoft, Chime",920
S-Neo,921
"Mistwalker, Artoon",922
AWE Games,923
Ubisoft Bulgaria,924
Ascaron Entertainment GmbH,925
Nightlight Studios,926
Doki Denki,927
DreamRift,928
Open Sesame,929
Surreal Software,930
"Dice, Danger Close",931
BIP Games,932
Epics,933
"Electronic Arts, Rebellion",934
Direct Action Games,935
Kung Fu Factory,936
Fall Line Studio,937
Sony Interactive Entertainment,938
Inland Productions,939
1C:Ino-Co,940
Big Blue Bubble Inc.,941
Adrenium,942
Capcom Vancouver,943
Vogster,944
Ubisoft Osaka,945
"Funatics Software, Funatics",946
Planet Interactive,947
Amble,948
Bethesda Game Studios,949
Mikoishi,950
Delphine Software International,951
Kuusou Kagaku,952
Santa Cruz Games,953
ProSoft,954
"Eidos Interactive, Tantalus Interactive",955
Polyphony Digital,956
Fox Interactive,957
Leviathan Games,958
NoWay Studio,959
One Man Band,960
Ignition Entertainment,961
GREZZO,962
Anino Entertainment,963
Incognito Inc.,964
"RED Entertainment, Artdink",965
Magic Rings,966
Pax Softonica,967
"LucasArts, Red Fly Studio",968
Virtual Air Guitar Company,969
"Kush Games, Visual Concepts",970
