Genre,Publisher,NA_Sales,EU_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
7.0,29.0,0.05,0.01,0.0,0.06,-1.0,-1.0,-1.0,-1.0,-1
2.0,2.0,0.2,0.0,0.01,0.21,-1.0,-1.0,-1.0,-1.0,3
8.0,25.0,0.34,0.01,0.06,0.41,-1.0,-1.0,-1.0,-1.0,0
8.0,35.0,0.07,0.0,0.01,0.08,-1.0,-1.0,-1.0,-1.0,3
3.0,29.0,0.37,0.35,0.09,0.81,-1.0,-1.0,7.2,9.0,0
1.0,5.0,0.04,0.0,0.0,0.04,43.0,5.0,7.5,4.0,0
12.0,5.0,0.09,0.06,0.01,0.16,72.0,46.0,4.4,266.0,1
3.0,36.0,0.0,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,-1
5.0,37.0,0.0,0.0,0.0,0.02,-1.0,-1.0,-1.0,-1.0,-1
6.0,19.0,0.0,0.0,0.0,0.14,-1.0,-1.0,-1.0,-1.0,-1
1.0,5.0,0.09,0.03,0.0,0.12,63.0,14.0,-1.0,-1.0,0
7.0,8.0,0.06,0.05,0.02,0.13,73.0,19.0,-1.0,-1.0,0
11.0,5.0,0.01,0.03,0.01,0.05,92.0,38.0,7.9,451.0,1
7.0,15.0,0.45,0.33,0.03,1.1,-1.0,-1.0,-1.0,-1.0,-1
9.0,16.0,0.05,0.0,0.01,0.24,-1.0,-1.0,-1.0,-1.0,-1
1.0,5.0,0.27,0.21,0.07,0.83,-1.0,-1.0,-1.0,-1.0,-1
2.0,29.0,0.18,0.0,0.01,0.2,-1.0,-1.0,-1.0,-1.0,0
10.0,15.0,1.54,1.18,0.26,4.43,81.0,88.0,8.5,1184.0,3
7.0,38.0,0.15,0.12,0.04,0.31,73.0,34.0,8.5,11.0,0
5.0,3.0,0.0,0.0,0.0,0.06,-1.0,-1.0,-1.0,-1.0,-1
11.0,2.0,0.0,0.0,0.04,0.6,-1.0,-1.0,-1.0,-1.0,-1
10.0,39.0,0.18,0.26,0.1,0.54,72.0,31.0,7.4,64.0,2
12.0,40.0,0.1,0.04,0.0,0.14,71.0,5.0,5.5,6.0,3
12.0,41.0,0.04,0.01,0.0,0.05,-1.0,-1.0,-1.0,-1.0,0
1.0,5.0,0.15,0.04,0.01,0.2,82.0,18.0,9.0,9.0,0
10.0,22.0,0.39,0.31,0.1,0.8,80.0,39.0,8.3,43.0,2
6.0,15.0,0.0,0.0,0.0,0.15,-1.0,-1.0,-1.0,-1.0,-1
1.0,9.0,0.0,0.16,0.05,0.21,-1.0,-1.0,-1.0,-1.0,-1
8.0,21.0,0.09,0.01,0.01,0.11,66.0,30.0,6.3,6.0,1
2.0,42.0,0.02,0.0,0.0,0.02,-1.0,-1.0,-1.0,-1.0,0
9.0,18.0,0.0,0.01,0.0,0.01,-1.0,-1.0,-1.0,-1.0,-1
9.0,3.0,0.0,0.0,0.0,0.12,-1.0,-1.0,-1.0,-1.0,-1
8.0,21.0,0.39,0.0,0.03,0.95,-1.0,-1.0,-1.0,-1.0,-1
5.0,43.0,0.0,0.0,0.0,0.02,-1.0,-1.0,-1.0,-1.0,-1
1.0,19.0,0.0,0.0,0.0,0.18,-1.0,-1.0,-1.0,-1.0,-1
8.0,12.0,0.68,0.82,0.19,1.7,-1.0,-1.0,-1.0,-1.0,-1
7.0,39.0,0.01,0.01,0.0,0.02,-1.0,-1.0,-1.0,-1.0,-1
12.0,21.0,0.22,0.08,0.01,0.55,82.0,17.0,8.9,31.0,0
9.0,44.0,0.14,0.0,0.02,0.23,55.0,12.0,7.9,44.0,3
9.0,36.0,0.0,0.0,0.0,0.04,-1.0,-1.0,-1.0,-1.0,-1
10.0,29.0,1.09,0.65,0.2,1.95,88.0,69.0,8.3,225.0,2
1.0,5.0,0.14,0.04,0.0,0.18,81.0,13.0,8.0,9.0,0
6.0,15.0,0.56,0.22,0.03,1.24,-1.0,-1.0,-1.0,-1.0,-1
1.0,45.0,0.08,0.02,0.01,0.11,55.0,32.0,-1.0,-1.0,0
9.0,46.0,0.45,0.3,0.05,0.8,80.0,14.0,8.1,28.0,1
8.0,16.0,0.03,0.0,0.0,0.04,45.0,7.0,5.6,37.0,3
8.0,25.0,3.7,1.95,0.58,6.32,95.0,96.0,9.0,2316.0,2
2.0,47.0,0.0,0.0,0.0,0.05,-1.0,-1.0,-1.0,-1.0,-1
8.0,1.0,0.31,0.12,0.01,0.44,53.0,6.0,-1.0,-1.0,0
4.0,1.0,0.11,0.0,0.01,0.12,61.0,12.0,6.6,13.0,1
9.0,7.0,0.2,0.15,0.05,0.4,59.0,38.0,5.7,20.0,1
4.0,45.0,0.13,0.02,0.02,0.49,66.0,13.0,7.6,28.0,3
2.0,48.0,1.17,0.39,0.15,1.71,89.0,25.0,8.9,43.0,1
1.0,9.0,0.07,0.0,0.01,0.07,72.0,44.0,-1.0,-1.0,0
10.0,2.0,0.0,0.0,0.0,0.03,-1.0,-1.0,-1.0,-1.0,-1
2.0,1.0,0.37,0.14,0.01,0.51,-1.0,-1.0,-1.0,-1.0,-1
1.0,5.0,1.58,0.05,0.04,1.67,90.0,14.0,6.8,4.0,0
8.0,8.0,0.06,0.14,0.04,0.26,-1.0,-1.0,-1.0,-1.0,-1
2.0,8.0,0.18,0.0,0.01,0.19,-1.0,-1.0,-1.0,-1.0,-1
8.0,22.0,0.53,0.42,0.11,1.07,76.0,57.0,6.6,198.0,1
8.0,40.0,0.64,0.28,0.1,1.02,61.0,11.0,6.0,5.0,3
8.0,49.0,0.08,0.02,0.0,0.1,-1.0,-1.0,-1.0,-1.0,-1
9.0,15.0,0.71,0.52,0.08,2.06,-1.0,-1.0,-1.0,-1.0,-1
8.0,8.0,0.05,0.01,0.0,0.06,-1.0,-1.0,4.0,6.0,3
1.0,25.0,0.88,0.02,0.08,0.97,82.0,46.0,7.6,34.0,0
11.0,5.0,0.48,0.77,0.17,1.42,64.0,75.0,2.2,4572.0,3
1.0,8.0,0.08,0.02,0.0,0.11,63.0,4.0,-1.0,-1.0,1
8.0,21.0,0.0,0.0,0.0,0.19,-1.0,-1.0,-1.0,-1.0,-1
8.0,29.0,0.01,0.0,0.0,0.02,23.0,21.0,3.3,23.0,1
8.0,2.0,0.25,0.15,0.04,0.45,70.0,54.0,6.9,180.0,2
8.0,45.0,1.84,0.11,0.02,1.97,-1.0,-1.0,-1.0,-1.0,-1
2.0,48.0,0.21,0.0,0.02,0.22,-1.0,-1.0,-1.0,-1.0,1
8.0,1.0,0.5,0.02,0.08,0.6,52.0,29.0,7.5,39.0,2
2.0,3.0,0.0,0.0,0.0,0.39,-1.0,-1.0,-1.0,-1.0,-1
2.0,50.0,0.06,0.0,0.01,0.07,57.0,6.0,-1.0,-1.0,0
1.0,5.0,0.78,2.55,0.84,4.21,80.0,32.0,7.8,47.0,0
10.0,19.0,0.44,0.3,0.09,0.85,78.0,65.0,8.7,95.0,2
8.0,51.0,0.1,0.07,0.02,0.2,57.0,19.0,8.0,21.0,1
1.0,8.0,0.41,0.07,0.07,0.56,68.0,11.0,7.6,14.0,1
2.0,28.0,0.05,0.15,0.02,0.22,-1.0,-1.0,-1.0,-1.0,-1
1.0,15.0,0.98,0.38,0.04,1.61,76.0,39.0,8.7,55.0,0
1.0,2.0,0.05,0.0,0.0,0.05,-1.0,-1.0,-1.0,-1.0,-1
1.0,5.0,0.29,0.08,0.01,0.38,92.0,27.0,8.7,45.0,0
8.0,52.0,0.02,0.0,0.0,0.02,-1.0,-1.0,-1.0,-1.0,3
1.0,5.0,2.42,0.11,0.16,2.69,78.0,55.0,5.9,94.0,0
12.0,9.0,0.19,0.15,0.05,0.4,73.0,39.0,8.3,22.0,1
1.0,8.0,0.09,0.03,0.0,0.13,72.0,4.0,-1.0,-1.0,0
2.0,15.0,0.3,0.08,0.01,0.39,69.0,30.0,6.0,9.0,1
8.0,8.0,0.24,0.09,0.01,0.33,58.0,4.0,-1.0,-1.0,3
11.0,18.0,0.1,0.03,0.0,0.13,76.0,33.0,8.2,5.0,1
8.0,15.0,1.75,0.52,0.1,2.7,95.0,30.0,9.1,314.0,0
4.0,3.0,0.32,0.32,0.15,0.93,77.0,32.0,7.9,187.0,1
3.0,53.0,0.0,0.05,0.01,0.07,64.0,10.0,7.1,12.0,1
5.0,54.0,0.06,0.11,0.02,0.18,-1.0,-1.0,-1.0,-1.0,3
7.0,11.0,0.42,0.58,0.08,1.08,91.0,90.0,7.4,594.0,0
2.0,29.0,0.17,0.13,0.06,0.36,73.0,10.0,6.8,20.0,3
10.0,9.0,1.74,0.02,0.28,2.04,72.0,38.0,9.0,34.0,1
8.0,3.0,0.0,0.0,0.0,0.12,-1.0,-1.0,-1.0,-1.0,-1
5.0,55.0,0.01,0.01,0.0,0.02,57.0,20.0,7.7,9.0,2
11.0,8.0,0.08,0.0,0.01,0.09,-1.0,-1.0,-1.0,-1.0,0
9.0,15.0,0.0,0.0,0.0,0.03,-1.0,-1.0,-1.0,-1.0,-1
6.0,56.0,0.0,0.24,0.02,0.26,-1.0,-1.0,-1.0,-1.0,-1
6.0,57.0,0.08,0.05,0.01,0.14,-1.0,-1.0,-1.0,-1.0,0
10.0,8.0,1.31,0.43,0.18,1.92,-1.0,-1.0,4.7,504.0,1
3.0,8.0,0.11,0.04,0.02,0.16,53.0,4.0,6.9,63.0,0
8.0,21.0,0.58,0.45,0.2,1.57,84.0,63.0,8.2,311.0,2
5.0,58.0,0.0,0.0,0.0,0.02,-1.0,-1.0,-1.0,-1.0,-1
8.0,2.0,0.34,0.01,0.06,0.55,94.0,53.0,9.3,439.0,2
8.0,45.0,0.05,0.02,0.0,0.07,-1.0,-1.0,-1.0,-1.0,-1
1.0,5.0,0.39,0.26,0.05,0.7,-1.0,-1.0,-1.0,-1.0,-1
8.0,3.0,0.0,0.0,0.0,0.1,-1.0,-1.0,-1.0,-1.0,-1
9.0,59.0,0.0,0.0,0.0,0.02,-1.0,-1.0,-1.0,-1.0,-1
8.0,29.0,0.05,0.02,0.0,0.07,63.0,12.0,6.8,4.0,0
2.0,2.0,0.0,0.0,0.0,0.05,-1.0,-1.0,-1.0,-1.0,-1
2.0,14.0,0.06,0.04,0.01,0.12,78.0,5.0,8.1,57.0,1
8.0,25.0,0.15,0.0,0.01,0.17,-1.0,-1.0,-1.0,-1.0,-1
8.0,1.0,0.43,0.03,0.04,0.5,62.0,16.0,6.7,12.0,0
2.0,9.0,0.04,1.08,0.32,1.44,73.0,13.0,7.5,8.0,3
8.0,60.0,0.29,0.0,0.02,0.31,-1.0,-1.0,-1.0,-1.0,-1
1.0,9.0,0.18,0.12,0.02,0.33,69.0,9.0,-1.0,-1.0,0
2.0,9.0,0.0,0.0,0.0,0.03,-1.0,-1.0,-1.0,-1.0,-1
2.0,15.0,0.09,0.03,0.0,0.13,-1.0,-1.0,-1.0,-1.0,-1
6.0,1.0,0.09,0.0,0.01,0.1,-1.0,-1.0,-1.0,-1.0,3
11.0,29.0,0.46,0.3,0.09,0.84,-1.0,-1.0,-1.0,-1.0,0
9.0,61.0,0.0,0.0,0.0,1.56,-1.0,-1.0,-1.0,-1.0,-1
11.0,5.0,0.3,0.37,0.07,0.76,52.0,29.0,3.3,31.0,1
8.0,3.0,0.0,0.0,0.0,0.03,-1.0,-1.0,-1.0,-1.0,-1
8.0,9.0,1.48,1.0,0.66,3.18,91.0,79.0,8.6,565.0,2
9.0,62.0,0.34,0.26,0.09,0.68,78.0,44.0,8.7,54.0,1
2.0,63.0,0.05,0.0,0.0,0.06,52.0,23.0,6.1,7.0,1
11.0,14.0,0.19,0.15,0.05,0.4,76.0,14.0,8.8,72.0,0
8.0,15.0,0.09,0.02,0.01,0.44,55.0,26.0,7.2,22.0,1
12.0,22.0,0.3,0.2,0.03,0.53,-1.0,-1.0,-1.0,-1.0,-1
9.0,64.0,0.0,0.0,0.0,0.03,-1.0,-1.0,-1.0,-1.0,-1
2.0,9.0,0.0,0.02,0.01,0.03,-1.0,-1.0,-1.0,-1.0,-1
8.0,64.0,0.06,0.0,0.0,0.07,56.0,23.0,-1.0,-1.0,1
9.0,65.0,0.04,0.03,0.01,0.47,84.0,45.0,9.0,59.0,1
12.0,29.0,0.0,0.06,0.01,0.08,86.0,11.0,8.4,337.0,3
8.0,39.0,0.18,0.14,0.05,0.36,53.0,6.0,6.0,8.0,0
